date,home_team,away_team,bet_side,american_odds,implied_prob_market,model_prob,edge,outcome
2025-12-09,Michigan Wolverines,Villanova Wildcats,away,1000,0.09090909090909091,0.6123077464292034,0.5213986555201124,
2025-12-13,Florida St Seminoles,Massachusetts Minutemen,away,530,0.15873015873015872,0.3182657957733529,0.15953563704319418,
2025-12-13,Elon Phoenix,Northern Illinois,away,520,0.16129032258064516,0.3713732997616592,0.21008297718101407,
2025-12-13,Louisiana Tech,Louisiana Ragin' Cajuns,away,520,0.16129032258064516,0.3713732997616592,0.21008297718101407,
2025-12-13,Illinois Fighting Illini,Nebraska Cornhuskers,away,400,0.2,0.36021500796372696,0.16021500796372695,
2025-12-13,UNLV Rebels,Tennessee St,away,550,0.15384615384615385,0.3182657957733529,0.16441964192719905,
2025-12-16,St. John's Red Storm,DePaul Blue Demons,away,1400,0.06666666666666667,0.21380964228364807,0.14714297561698142,
2025-12-17,Pittsburgh Panthers,Binghamton Bearcats,away,2800,0.034482758620689655,0.14840667621566983,0.11392391759498018,
2025-12-19,Loyola Marymount Lions,North Alabama Lions,away,520,0.16129032258064516,0.3374730506297061,0.17618272804906096,
2025-12-20,St. Bonaventure Bonnies,Le Moyne Dolphins,away,1600,0.058823529411764705,0.22766630864087978,0.16884277922911506,
2025-12-21,Drexel Dragons,Maine Black,away,470,0.17543859649122806,0.3713732997616592,0.19593470327043117,
2025-12-22,Temple Owls,Princeton,away,520,0.16129032258064516,0.3713732997616592,0.21008297718101407,
2025-12-22,Creighton Bluejays,Utah Tech Trailblazers,away,1500,0.0625,0.16584184880835173,0.10334184880835173,
2025-12-29,Northern Iowa Panthers,Valparaiso Beacons,away,640,0.13513513513513514,0.35543010997990987,0.22029497484477473,
2025-12-31,UNC Wilmington Seahawks,Drexel Dragons,away,660,0.13157894736842105,0.24116124204223266,0.10958229467381161,
2026-01-10,Virginia Cavaliers,Stanford Cardinal,away,540,0.15625,0.2652733579022649,0.10902335790226492,
2026-01-10,Arkansas St Red Wolves,Texas State Bobcats,away,540,0.15625,0.2646958643865446,0.10844586438654458,
2026-01-10,Massachusetts Minutemen,Ball State,away,540,0.15625,0.3182657957733529,0.1620157957733529,
2026-01-10,UCLA,Maryland Terrapins,away,540,0.15625,0.3182657957733529,0.1620157957733529,
2026-01-10,Santa Clara Broncos,Loyola Marymount Lions,away,590,0.14492753623188406,0.2871751247020057,0.14224758847012162,
